1108,Huyện Pác Nặm,11,8
1200,Tỉnh Thái Nguyên,12,0
1201,Thành phố Thái Nguyên,12,1
1202,Thị xã Sông Công,12,2
1203,Huyện Định Hóa,12,3
1204,Huyện Phú Lương,12,4
1205,Huyện Võ Nhai,12,5
1206,Huyện Đại Từ,12,6
1207,Huyện Đồng Hỷ,12,7
1208,Huyện Phú Bình,12,8
1209,Huyện Phổ Yên,12,9
1300,Tỉnh Yên Bái,13,0
1301,Thành phố Yên Bái,13,1
1302,Thị xã Nghĩa Lộ,13,2
1303,Huyện Văn Yên,13,3
1304,Huyện Yên Bình,13,4
1305,Huyện Mù Cang Chải,13,5
1306,Huyện Văn Chấn,13,6
1307,Huyện Trấn Yên,13,7
1308,Huyện Trạm Tấu,13,8
1309,Huyện Lục Yên,13,9
1400,Tỉnh Sơn La,14,0
1401,Thị xã Sơn La,14,1
1402,Huyện Quỳnh Nhai,14,2
1403,Huyện Mường La,14,3
1404,Huyện Thuận Châu,14,4
1405,Huyện Bắc Yên,14,5
1406,Huyện Phù Yên,14,6
1407,Huyện Mai Sơn,14,7
1408,Huyện Yên Châu,14,8
1409,Huyện Sông Mã,14,9
1410,Huyện Mộc Châu,14,10
1411,Huyện Sốp Cộp,14,11
1500,Tỉnh Phú Thọ,15,0
1501,Thành phố Việt Trì,15,1
1502,Thị xã Phú Thọ,15,2
1503,Huyện Đoan Hùng,15,3
1504,Huyện Thanh Ba,15,4
1505,Huyện Hạ Hòa,15,5
1506,Huyện Cẩm Khê,15,6
1507,Huyện Yên Lập,15,7
1508,Huyện Thanh Sơn,15,8
1509,Huyện Phù Ninh,15,9
1510,Huyện Lâm Thao,15,10
1511,Huyện Tam Nông,15,11
1512,Huyện Thanh Thủy,15,12
1513,Huyện Tân Sơn,15,13
1600,Tỉnh Vĩnh Phúc,16,0
1601,Thành phố Vĩnh Yên,16,1
1602,Huyện Tam Dương,16,2
1603,Huyện Lập Thạch,16,3
1604,Huyện Vĩnh Tường,16,4
1605,Huyện Yên Lạc,16,5
1606,Huyện Bình Xuyên,16,6
1608,Thị xã Phúc Yên,16,8
1609,Huyện Tam Đảo,16,9
1700,Tỉnh Quảng Ninh,17,0
1701,Thành phố Hạ Long,17,1
1702,Thị xã Cẩm Phả,17,2
1703,Thị xã Uông Bí,17,3
1704,Thành phố Móng Cái,17,4
1705,Huyện Bình Liêu,17,5
1706,Huyện Đầm Hà,17,6
1707,Huyện Hải Hà,17,7
1708,Huyện Tiên Yên,17,8
1709,Huyện Ba Chẽ,17,9
1710,Huyện Đông Triều,17,10
1711,Huyện Yên Hưng,17,11
1712,Huyện Hoành Bồ,17,12
1713,Huyện Vân Đồn,17,13
1714,Huyện Cô Tô,17,14
1800,Tỉnh Bắc Giang,18,0
1801,Thành phố Bắc Giang,18,1
1802,Huyện Yên Thế,18,2
1803,Huyện Lục Ngạn,18,3
1804,Huyện Sơn Động,18,4
1805,Huyện Lục Nam,18,5
1806,Huyện Tân Yên,18,6
1807,Huyện Hiệp Hoà,18,7
1808,Huyện Lạng Giang,18,8
1809,Huyện Việt Yên,18,9
1810,Huyện Yên Dũng,18,10
1900,Tỉnh Bắc Ninh,19,0
1901,Thành phố Bắc Ninh,19,1
1902,Huyện Yên Phong,19,2
1903,Huyện Quế Võ.,19,3
1904,Huyện Tiên Du,19,4
1905,Huyện Từ  Sơn,19,5
1906,Huyện Thuận Thành,19,6
1907,Huyện Gia Bình,19,7
1908,Huyện Lương Tài,19,8
2100,Tỉnh Hải Dương,21,0
2101,Thành phố Hải Dương,21,1
2102,Huyện Chí Linh,21,2
2103,Huyện Nam Sách,21,3
2104,Huyện Kinh Môn,21,4
2105,Huyện Gia Lộc,21,5
2106,Huyện Tứ Kỳ,21,6
2107,Huyện Thanh Miện,21,7
2108,Huyện Ninh Giang,21,8
2109,Huyện Cẩm Giàng,21,9
2110,Huyện Thanh Hà,21,10
2111,Huyện Kim Thành,21,11
2112,Huyện Bình Giang,21,12
2200,Tỉnh Hưng Yên,22,0
2201,Thị xã Hưng Yên,22,1
2202,Huyện Kim Động,22,2
2203,Huyện Ân Thi,22,3
2204,Huyện Khoái Châu,22,4
2205,Huyện Yên Mỹ,22,5
